bad_driving_time,bad_driving_lng,bad_driving_lat,bad_driving_name,bad_driving_info,ex_province,ex_city,ex_district,ex_wind_power,ex_conditions,ex_rain_amount
2018-08-04 03:11:44,115.761473,28.505916,超速,"速度达到110km/h,超过100km/h",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:11:44,115.761473,28.505916,急加速,"加速度达到4.17m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:11:45,115.761436,28.506159999999998,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:16:55,115.759616,28.56951500000001,急加速,"加速度达到3.89m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:16:56,115.759638,28.569628,急减速,"加速度达到-3.61m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:17:07,115.759776,28.570345,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:17:30,115.75985800000001,28.570520000000002,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:21:51,115.781341,28.58749000000001,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:22:11,115.781655,28.587315999999998,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:23:19,115.782678,28.58715,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:23:20,115.782678,28.58718,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:23:24,115.78273999999999,28.58727,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:23:33,115.78299799999999,28.587403000000002,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:23:33,115.78299799999999,28.587403000000002,超长怠速,"超长怠速时长为516秒,超过120秒",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:31:49,115.783075,28.587320000000002,急变道,"方向角变化数为：137,超过30",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:32:15,115.782715,28.586923,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:32:30,115.78239599999999,28.586865000000003,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:36:55,115.79925800000001,28.615993,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:37:11,115.79929299999999,28.616038,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:38:35,115.80293999999999,28.623893,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:38:38,115.802985,28.623996,急减速,"加速度达到-3.61m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:39:41,115.80303,28.624083000000002,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:40:35,115.804953,28.628818,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:40:37,115.80495800000001,28.628866,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:41:23,115.804975,28.628965,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,新建,1-2级,雷阵雨转多云,
2018-08-04 03:52:32,115.867848,28.659883,急加速,"加速度达到3.61m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 03:52:33,115.86791299999999,28.659979999999997,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 03:55:05,115.87006799999999,28.674879999999998,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 03:56:03,115.87011100000001,28.674983,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 03:57:46,115.868995,28.665846000000002,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 03:59:16,115.86899299999999,28.665798,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 03:59:18,115.869003,28.665743,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 03:59:20,115.86901100000001,28.665685999999997,急加速,"加速度达到3.61m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:00:15,115.874348,28.664401,急减速,"加速度达到-3.89m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:00:51,115.87445,28.664383,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:02:16,115.881743,28.663326,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:02:23,115.881826,28.663342999999998,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:04:31,115.88673500000002,28.66284000000001,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:05:05,115.889223,28.662525,急减速,"加速度达到-3.61m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:05:31,115.89021000000001,28.663003000000003,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:06:07,115.89025600000001,28.663056,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:06:08,115.890305,28.663068,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:06:11,115.890381,28.663108,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:06:48,115.89259299999999,28.664556,急减速,"加速度达到-3.61m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:07:20,115.89265,28.664597999999998,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:07:49,115.893831,28.665433,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:07:58,115.893993,28.665545,急加速,"加速度达到3.33m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:10:55,115.905901,28.665670000000002,急变道,"方向角变化数为：38,超过30",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:11:24,115.90841599999999,28.665533,急减速,"加速度达到-3.89m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:11:49,115.908561,28.665509999999998,急加速,"加速度达到3.89m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:14:30,115.91208799999998,28.670051,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:14:30,115.91208799999998,28.670051,超长怠速,"超长怠速时长为217秒,超过120秒",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:15:26,115.911303,28.669697999999997,急变道,"方向角变化数为：34,超过30",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:17:43,115.91138500000001,28.669611,急变道,"方向角变化数为：49,超过30",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:18:07,115.91185,28.669615999999998,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:18:08,115.911851,28.66964,急减速,"加速度达到-3.06m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-04 04:18:08,115.911851,28.66964,超长怠速,"超长怠速时长为97886秒,超过120秒",江西,南昌,西湖,1-2级,雷阵雨转阵雨,
2018-08-05 07:25:22,115.911878,28.669690999999997,怠速预热,"怠速预热时长为252秒,超过120秒",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:25:22,115.911878,28.669690999999997,疲劳驾驶,"疲劳驾驶时长为20440秒,超过14400秒",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:27:27,115.91183600000001,28.669590000000003,急变道,"方向角变化数为：51,超过30",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:29:16,115.912123,28.670073,急变道,"方向角变化数为：37,超过30",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:29:22,115.91219,28.670113,急变道,"方向角变化数为：43,超过30",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:29:34,115.91243300000001,28.670060999999997,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:29:51,115.913155,28.669936,急减速,"加速度达到-3.33m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:29:52,115.913183,28.669933,急加速,"加速度达到3.06m/s^2,超过3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:29:52,115.913183,28.669933,长时间低速行驶,"长时间低速行驶时长为90秒,超过60秒",江西,南昌,西湖,1-2级,雷阵雨转多云,
2018-08-05 07:31:22,115.911285,28.66729500000001,急减速,"加速度达到-3.89m/s^2,超过-3m/s^2",江西,南昌,西湖,1-2级,雷阵雨转多云,
